2011-06-17 21:25:45 Warning: Warning (2): include_once(C:\xampp\htdocs/app/plugins/spark_plug/config/config.php) [<a href='http://php.net/function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in [C:\xampp\htdocs\edittogether\config\core.php, line 304]
2011-06-17 21:25:45 Warning: Warning (2): include_once() [<a href='http://php.net/function.include'>function.include</a>]: Failed opening 'C:\xampp\htdocs/app/plugins/spark_plug/config/config.php' for inclusion (include_path='C:\xampp\htdocs\cake;C:\xampp\htdocs\edittogether\;.;C:\xampp\php\PEAR') in [C:\xampp\htdocs\edittogether\config\core.php, line 304]
2011-06-17 21:25:45 Warning: Warning (2): include_once(C:\xampp\htdocs/app/plugins/spark_plug/config/routes.php) [<a href='http://php.net/function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in [C:\xampp\htdocs\edittogether\config\routes.php, line 36]
2011-06-17 21:25:45 Warning: Warning (2): include_once() [<a href='http://php.net/function.include'>function.include</a>]: Failed opening 'C:\xampp\htdocs/app/plugins/spark_plug/config/routes.php' for inclusion (include_path='C:\xampp\htdocs\cake;C:\xampp\htdocs\edittogether\;.;C:\xampp\php\PEAR') in [C:\xampp\htdocs\edittogether\config\routes.php, line 36]
2011-06-17 21:28:43 Warning: Warning (2): fopen(C:\xampp\htdocs\edittogether\tmp\cache\persistent\cake_core_dir_map) [<a href='http://php.net/function.fopen'>function.fopen</a>]: failed to open stream: Invalid argument in [C:\xampp\htdocs\cake\cake\libs\file.php, line 152]
2011-06-17 21:53:19 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:53:19 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:53:19 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:04 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:04 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:04 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:06 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:06 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:06 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:58 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:58 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:58 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:59 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:59 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:54:59 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:55:00 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:55:00 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:55:00 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:28 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:28 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:28 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:29 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:29 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:29 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:32 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:32 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:56:32 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:23 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:23 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:23 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:23 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:23 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:23 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:24 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:24 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:24 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:24 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:24 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:57:24 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:59:19 Warning: Warning (512): C:\xampp\htdocs\edittogether\tmp\cache\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:59:19 Warning: Warning (512): \persistent\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
2011-06-17 21:59:19 Warning: Warning (512): \models\ is not writable in [C:\xampp\htdocs\cake\cake\libs\cache\file.php, line 267]
